"date","year","name","isholiday","holidaycategory","description"
"20160101","2016","中華民國開國紀念日","是","放假之紀念日及節日","全國各機關學校放假一日。"
"20160102","2016","","是","星期六、星期日",""
"20160103","2016","","是","星期六、星期日",""
"20160109","2016","","是","星期六、星期日",""
"20160110","2016","","是","星期六、星期日",""
"20160116","2016","","是","星期六、星期日",""
"20160117","2016","","是","星期六、星期日",""
"20160123","2016","","是","星期六、星期日",""
"20160124","2016","","是","星期六、星期日",""
"20160130","2016","","否","補行上班日",""
"20160131","2016","","是","星期六、星期日",""
"20160206","2016","","是","星期六、星期日",""
"20160207","2016","農曆除夕","是","放假之紀念日及節日","全國各機關學校放假一日，適逢星期日，於二月十一日補假一日，調整二月十二日為放假日，並於一月三十日補行上班。"
"20160208","2016","春節","是","放假之紀念日及節日","全國各機關學校於二月八日至二月十日放假三日。"
"20160209","2016","春節","是","放假之紀念日及節日","全國各機關學校於二月八日至二月十日放假三日。"
"20160210","2016","春節","是","放假之紀念日及節日","全國各機關學校於二月八日至二月十日放假三日。"
"20160211","2016","","是","補假",""
"20160212","2016","","是","調整放假日",""
"20160213","2016","","是","星期六、星期日",""
"20160214","2016","","是","星期六、星期日",""
"20160220","2016","","是","星期六、星期日",""
"20160221","2016","","是","星期六、星期日",""
"20160227","2016","","是","星期六、星期日",""
"20160228","2016","和平紀念日","是","放假之紀念日及節日","全國各機關學校放假一日，適逢星期日，於二月二十九日補假一日。"
"20160229","2016","","是","補假",""
"20160305","2016","","是","星期六、星期日",""
"20160306","2016","","是","星期六、星期日",""
"20160312","2016","","是","星期六、星期日",""
"20160313","2016","","是","星期六、星期日",""
"20160319","2016","","是","星期六、星期日",""
